Suburb,Postcode,LGA,Area,Suburb Rating,No. of Reviews,"Suburb
Clarinda,3169,City of Kingston,South East,4,6,284,"Parking
Public transport
Medical facilities
Resale or rental value
Internet access",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Students",77,64,25.6,23.6,22,71,75,77,10,35.75,5.24,14.38,67.04%,55.13%,1 in 191,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Keilor,3036,City of Hume,North,4,14,285,"Parking
Parks and recreation
Pest-free
Clean & green
Safe and sound",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Students",69,75,62,69,67.4,80,72,74,10,29.29,3.39,16.42,60.28%,58.46%,1 in 295,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Sunbury,3429,City of Hume,North,4,30,287,"Parks and recreation
Schools
Safe and sound
Resale or rental value
Cost of living",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",54,55,76,84,83.6,61,52,59,10,43.06,6.31,19.97,70.75%,63.91%,1 in 159,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Doveton,3177,City of Casey,South East,4,9,288,"Internet access
Resale or rental value
Parks and recreation
Cost of living
Schools","Nightlife
Eating out","Families With Kids
Professionals
Singles
Retirees
LGBTQ+",91,77,19,19,18.8,88,88,89,22,89.03,14.58,43.63,86.05%,83.72%,1 in 69,Moderately safe,"Theft
Breaches of orders
Assault and related offences"
Broadmeadows,3047,City of Hume,North,4,28,289,"Eating out
Schools
Public transport
Neighbourly spirit
Safe and sound",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",64,60,60,67,69,58,62,66,37,193.71,22.52,77.37,91.86%,92.16%,1 in 44,Relatively unsafe area,"Breaches of orders
Theft
Assault and related offences"
Reservoir,3073,City of Darebin,North,4,47,290,"Internet access
Parks and recreation
Neighbourly spirit
Parking
Public transport",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",63,50,49,56,55,43,61,63,14,69.65,7.07,39.47,73.03%,81.57%,1 in 142,Relatively safe area,"Theft
Breaches of orders
Assault and related offences"
Officer,3809,Shire of Cardinia,South East,4,13,291,"Clean & green
Internet access
Neighbourly spirit
Parks and recreation
Resale or rental value",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",89,74,30,31,30,80,85,87,10,41.99,4.59,27.13,64.71%,72.58%,1 in 218,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Narre Warren,3805,City of Casey,South East,4,29,292,"Medical facilities
Safe and sound
Schools
Parks and recreation
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",85,71,22,22,23,76,82,83,18,80.86,11.7,45.79,82.56%,84.67%,1 in 85,Moderately safe,"Theft
Assault and related offences
Breaches of orders"
Bellfield,3081,City of Banyule,North,4,7,294,"Resale or rental value
Parks and recreation
Peace and quiet
Parking
Lack of traffic","Nightlife
Shopping options
Childcare
Pest-free","Families With Kids
Professionals
Singles
Retirees
Students",68,51,37,44,44,24,65,61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mooroolbark,3138,Shire of Yarra Ranges,East,3.9,42,295,"Safe and sound
Clean & green
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Students",92,79,27,33,32,89,88,90,10,28.19,5.29,10.8,67.18%,48.30%,1 in 189,Considered safe area,"Assault and related offences
Theft
Breaches of orders"
Noble Park,3174,City of Greater Dandenong,South East,3.9,54,296,"Cost of living
Public transport
Internet access
Neighbourly spirit
Parks and recreation",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",69,54,22,22,19,62,65,67,14,65.35,8.74,35,77.07%,78.81%,1 in 114,Relatively safe area,"Theft
Breaches of orders
Assault and related offences"
Parkville,3052,City of Melbourne,Inner City,3.9,7,297,"Parks and recreation
Clean & green
Gym and fitness
Pest-free
Safe and sound","Shopping options
Nightlife","Professionals
Families With Kids
Retirees
Singles
Tourists",18,28,41,49,49,36,19,23,16,89.62,6.64,69.41,71.76%,91.07%,1 in 151,Moderately safe,"Theft
Property damage
Burglary/break and enter"
Sydenham,3037,City of Brimbank,Western,3.9,22,298,"Gym and fitness
Shopping options
Parks and recreation
Safe and sound
Childcare",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",61,58,70,77,73,65,58,65,10,35.55,5.1,17.96,66.42%,61.05%,1 in 196,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Campbellfield,3061,City of Hume,North,3.9,9,299,"Internet access
Parking
Peace and quiet
Safe and sound
Pest-free",Childcare,"Families With Kids
Professionals
Singles
Retirees
Students",53,54,56,64,68,61,54.2,57.8,37,193.89,14.06,126.18,85.55%,95.92%,1 in 71,Relatively unsafe area,"Theft
Burglary/break and enter
Deception"
Blackburn North,3130,City of Whitehorse,East,3.9,9,300,"Clean & green
Parks and recreation
Schools
Internet access
Medical facilities",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",64,50,20,27,27,33,54,55,10,35.4,3.15,23.6,59.23%,68.86%,1 in 318,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Craigieburn,3064,City of Hume,North,3.9,54,301,"Parks and recreation
Public transport
Peace and quiet
Schools
Clean & green",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",81,78,67,75,77,77,81,83,10,37.71,5.78,20.08,69.03%,64.15%,1 in 173,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Langwarrin,3910,City of Frankston,South East,3.9,50,302,"Parks and recreation
Schools
Safe and sound
Parking
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",133,117,37,37,38,129,130,131,10,29.89,3.73,15.13,61.54%,56.29%,1 in 268,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Dandenong North,3175,City of Greater Dandenong,South East,3.9,16,303,"Safe and sound
Peace and quiet
Lack of traffic
Neighbourly spirit
Clean & green",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Students",88,89,15,16,17,93,88,91,12,44.43,7.36,20.98,73.86%,65.39%,1 in 136,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Pascoe Vale South,3044,City of Merri-bek,North,3.9,7,305,"Public transport
Parking
Resale or rental value
Safe and sound
Schools",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",36,41,51,59,59.4,45,37,41,10,30.19,2.66,20.51,57.27%,64.75%,1 in 376,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Toorak,3142,City of Stonnington,South East,3.9,18,306,"Public transport
Clean & green
Resale or rental value
Internet access
Parks and recreation",No ratings yet,"Professionals
Families With Kids
Retirees
Singles
Fashion Conscious",53,36,28,27,25,50,53,56,10,50.64,3.9,34.72,62.21%,78.67%,1 in 256,Considered safe area,"Theft
Burglary/break and enter
Deception"
Clayton,3168,City of Monash,South East,3.9,23,308,"Parking
Resale or rental value
Internet access
Medical facilities
Schools",No ratings yet,"Singles
Professionals
Families With Kids
Students
Retirees",63,54,20,18.8,19,54,63,66,16,86.27,7.43,59.09,74.10%,88.78%,1 in 135,Moderately safe,"Theft
Burglary/break and enter
Assault and related offences"
Glenroy,3046,City of Merri-bek,North,3.9,28,310,"Public transport
Internet access
Resale or rental value
Schools
Parking",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",43,38,59,67,68.2,41,40,44,13,54.72,7.44,26.9,74.15%,72.26%,1 in 134,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Heatherton,3202,City of Kingston,South East,3.9,17,312,"Clean & green
Internet access
Parks and recreation
Neighbourly spirit
Pest-free",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",81,68,30.8,28.8,28,71,79,81,13,68.29,3.89,39.99,62.19%,81.84%,1 in 257,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Hawthorn,3122,City of Boroondara,East,3.9,25,314,"Internet access
Parks and recreation
Public transport
Eating out
Resale or rental value",Cost of living,"Families With Kids
Professionals
Singles
Retirees
Students",33,23,30,29,29,32,32,33,10,47.93,3.49,33.91,60.68%,78.11%,1 in 286,Considered safe area,"Theft
Burglary/break and enter
Deception"
Sunshine,3020,City of Brimbank,Western,3.9,47,315,"Internet access
Public transport
Cost of living
Parks and recreation
Safe and sound",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",40,37,61,64,62,41,37,44,41,253.68,25.62,100.79,93.09%,94.42%,1 in 39,Relatively unsafe area,"Breaches of orders
Theft
Assault and related offences"
Kensington,3031,City of Melbourne,Inner City,3.9,45,316,"Public transport
Parks and recreation
Eating out
Neighbourly spirit
Schools",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",22,20,46,54,53,30,20,24,13,61.98,6.14,43.93,70.31%,83.80%,1 in 163,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Bayswater North,3153,City of Maroondah,East,3.8,8,318,"Clean & green
Schools
Parks and recreation
Childcare
Internet access",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",88,66,15,21,21,85,84,86,13,57.36,6.43,30.51,71.15%,75.59%,1 in 155,Relatively safe area,"Theft
Breaches of orders
Assault and related offences"
South Yarra,3141,City of Melbourne & City of Stonnington,Inner City,3.8,24,319,"Public transport
Parks and recreation
Eating out
Internet access
Shopping options",No ratings yet,"Professionals
Singles
Retirees
Families With Kids
Fashion Conscious",41,17,34,33,32,26,28,30,19,91.42,9.51,57.18,78.64%,88.24%,1 in 105,Moderately safe,"Theft
Burglary/break and enter
Assault and related offences"
Croydon South,3136,City of Maroondah,East,3.8,6,321,"Safe and sound
Parks and recreation
Public transport
Pest-free
Clean & green",Parking,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",80,65,15,21,21,83,76,78,10,30.05,4.2,11.77,63.37%,50.24%,1 in 238,Considered safe area,"Breaches of orders
Theft
Assault and related offences"
Pakenham,3810,Shire of Cardinia,South East,3.8,46,322,"Parks and recreation
Public transport
Neighbourly spirit
Safe and sound
Schools",Nightlife,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",96,81,38,38,39.6,74,91,93,12,52.87,7.1,27.02,73.18%,72.34%,1 in 141,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
St Kilda East,3183,City of Glen Eira,South East,3.8,5,323,"Public transport
Internet access
Resale or rental value
Eating out
Safe and sound",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
LGBTQ+",59,45,34,33,33.2,51,48,59,10,42.72,2.55,29.04,56.85%,74.29%,1 in 393,Considered safe area,"Theft
Property damage
Burglary/break and enter"
Springvale,3171,City of Greater Dandenong,South East,3.8,16,324,"Eating out
Public transport
Cost of living
Internet access
Medical facilities",Parking,"Families With Kids
Professionals
Singles
Retirees
Hipsters",63,48,21,19,18,56,59,61,20,110.85,10.46,63.18,80.41%,89.78%,1 in 96,Moderately safe,"Theft
Breaches of orders
Assault and related offences"
Caulfield,3162,City of Glen Eira,South East,3.8,6,325,"Gym and fitness
Internet access
Parking
Peace and quiet
Safe and sound",No ratings yet,"Families With Kids
Professionals
Retirees
Students
Singles",52,59,30,30,30.2,57,58,59,10,42.97,4,24.88,62.64%,70.18%,1 in 250,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Flemington,3031,City of Melbourne,Inner City,3.8,9,326,"Internet access
Public transport
Medical facilities
Resale or rental value
Neighbourly spirit",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
Fashion Conscious",27,33,46,54,53,37,28,32,24,108.61,15.23,59.5,86.77%,88.86%,1 in 66,Moderately safe,"Theft
Assault and related offences
Breaches of orders"
Elwood,3184,City of Port Phillip,Inner City,3.8,37,327,"Parks and recreation
Resale or rental value
Clean & green
Neighbourly spirit
Eating out",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
LGBTQ+",53,46,40,39,38.8,42,48,49,10,41.25,2.51,29.5,56.68%,74.77%,1 in 399,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Footscray,3011,City of Maribyrnong,Western,3.8,40,328,"Public transport
Eating out
Internet access
Resale or rental value
Schools",No ratings yet,"Singles
Professionals
Families With Kids
Retirees
LGBTQ+",34,27,51,59,54,30,31,43,34,149.61,20.84,90.95,91.11%,93.61%,1 in 48,Relatively unsafe area,"Theft
Assault and related offences
Property damage"
Bayswater,3153,City of Knox,East,3.8,27,330,"Neighbourly spirit
Clean & green
Schools
Public transport
Resale or rental value",Nightlife,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",72,55,10,17,16,63,66,68,15,64.35,8.16,34.33,75.85%,78.30%,1 in 123,Relatively safe area,"Theft
Breaches of orders
Burglary/break and enter"
St Albans,3021,City of Brimbank,Western,3.8,31,331,"Public transport
Schools
Medical facilities
Cost of living
Childcare",Nightlife,"Families With Kids
Professionals
Singles
Students
Retirees",40,37,67,71,64,39,37,44,16,71.29,9.96,38.22,79.54%,80.82%,1 in 100,Moderately safe,"Theft
Assault and related offences
Breaches of orders"
Sandhurst,3977,City of Frankston,South East,3.7,7,332,"Clean & green
Eating out
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Professionals
Families With Kids
Singles",116,103,28,28,28,107,112,114,10,15.74,2.3,11.71,55.95%,50.07%,1 in 434,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
West Footscray,3012,City of Maribyrnong,Western,3.7,25,335,"Neighbourly spirit
Public transport
Parking
Parks and recreation
Eating out",No ratings yet,"Families With Kids
Professionals
Singles
LGBTQ+
Fashion Conscious",41,34,54,57,54,38,38,41,12,63.69,4.6,46.64,64.75%,85%,1 in 217,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Richmond,3121,City of Yarra,Inner City,3.6,38,338,"Public transport
Internet access
Eating out
Shopping options
Parks and recreation",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
Hipsters",33,19,35,35,34,22,29,30,19,94.8,9.44,59.08,78.55%,88.78%,1 in 106,Moderately safe,"Theft
Property damage
Assault and related offences"
Bentleigh,3204,City of Glen Eira,South East,3.6,31,340,"Parks and recreation
Internet access
Public transport
Schools
Pest-free",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Beach Lovers",61,44,33,31.8,30.2,48,55,57,10,39.9,2.96,27.51,58.56%,72.86%,1 in 338,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Narre Warren South,3805,City of Casey,South East,3.6,7,341,"Childcare
Safe and sound
Schools
Resale or rental value
Pest-free",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",92,78,26,26,28.6,92,90,92,10,24.81,4.85,13.14,65.63%,52.81%,1 in 206,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Balaclava,3183,City of Port Phillip,Inner City,3.6,9,342,"Public transport
Eating out
Neighbourly spirit
Parking
Parks and recreation",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
Tourists",40,37,37,35.6,36.2,28,35,36,20,94.58,7.97,57.86,75.38%,88.39%,1 in 125,Moderately safe,"Theft
Property damage
Breaches of orders"
Keysborough,3173,City of Greater Dandenong,South East,3.5,19,344,"Parks and recreation
Internet access
Schools
Pest-free
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Beach Lovers",89,73,30,30,27.8,84,84,86,10,43.67,4.7,26.68,65.07%,72.06%,1 in 213,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Box Hill,3128,City of Whitehorse,East,3.5,21,348,"Eating out
Public transport
Parks and recreation
Internet access
Medical facilities","Lack of traffic
Clean & green
Parking
Cost of living
Nightlife","Families With Kids
Professionals
Singles
Students
Retirees",41,27,23,30,30,48,39,40,22,100.19,10.94,60.82,81.38%,89.21%,1 in 91,Moderately safe,"Theft
Burglary/break and enter
Assault and related offences"
Heidelberg West,3081,City of Banyule,North,3.5,44,349,"Parks and recreation
Internet access
Neighbourly spirit
Public transport
Peace and quiet",Nightlife,"Professionals
Singles
Families With Kids
Students
Retirees",72,57,38,45,46,28,59,61,31,126.05,20.75,63.02,91.02%,89.75%,1 in 48,Relatively unsafe area,"Theft
Assault and related offences
Breaches of orders"
Oakleigh East,3166,City of Monash,South East,3.5,15,350,"Neighbourly spirit
Parking
Safe and sound
Peace and quiet
Clean & green","Nightlife
Cost of living
Childcare","Families With Kids
Professionals
Singles
Retirees
Tourists",62,53,21,19,18,66,62,65,10,42.18,3.53,27.04,60.83%,72.51%,1 in 284,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Dandenong South,3175,City of Greater Dandenong,South East,3.3,3,353,"Clean & green
Peace and quiet
Safe and sound
Neighbourly spirit
Internet access",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",89,82,26,27,28,94,93,94,50,"5,584.00",376,"4,080.00",99.64%,99.77%,1 in 3,Relatively unsafe area,"Theft
Burglary/break and enter
Assault and related offences"
Huntingdale,3166,City of Monash,South East,3.1,3,354,"Parking
Public transport
Resale or rental value
Cost of living
Internet access",No ratings yet,"Families With Kids
Professionals
Students",66,51,22,21,20,58,63,64,12,66.19,4.1,45.15,63.01%,84.35%,1 in 244,Relatively safe area,"Theft
Burglary/break and enter
Deception"
Kings Park,3021,City of Brimbank,Western,3.6,2,354,"Internet access
Pest-free
Public transport
Shopping options
Schools",No ratings yet,"Professionals
Families With Kids
Singles
LGBTQ+
Fashion Conscious",65,57,72,73,67,72,62,75,10,31.33,6.83,13.17,72.30%,52.92%,1 in 146,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Sunshine North,3020,City of Brimbank,Western,2.9,5,356,"Parking
Neighbourly spirit
Medical facilities
Pest-free
Schools",Nightlife,"Families With Kids
Professionals
Singles
Retirees",48,45,62,66,60.2,57,46,50,17,92.8,7.22,58.35,73.49%,88.49%,1 in 138,Moderately safe,"Theft
Burglary/break and enter
Breaches of orders"
Kalkallo,3064,City of Hume,North,2.8,10,357,"Clean & green
Eating out
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Families With Kids
Professionals
Singles",81,81,66,73,77,84,79,83,12,48.31,6.67,31.18,71.86%,76.01%,1 in 150,Relatively safe area,"Theft
Burglary/break and enter
Assault and related offences"
Carlton South,3053,City of Melbourne,Inner City,N/A,N/A,N/A,N/A,N/A,N/A,16,14,39,47,44,8,13,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Princess Hill,3054,City of Yarra,Inner City,N/A,N/A,N/A,N/A,N/A,N/A,24,29,38,46,46,26,20,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cremrone,3121,City of Yarra,Inner City,N/A,N/A,N/A,N/A,N/A,N/A,27,17,36.6,36,34,27,26,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ripponlea,3185,City of Port Phillip,Inner City,4.3,2,N/A,"Eating out
Parks and recreation
Public transport
Schools",No ratings yet,Professionals,41,26,36,36,35,29,36,37,17,67.23,7.83,47,75.09%,85.12%,1 in 128,Moderately safe,"Theft
Property damage
Assault and related offences"
Kooyong,3144,City of Stonnington,South East,4.4,1,N/A,"Clean & green
Eating out
Parks and recreation
Public transport
Safe and sound",No ratings yet,"Professionals
Families With Kids",41,27,24.8,23.8,24,34,37,39,17,89.07,4.75,41.57,65.18%,82.67%,1 in 211,Moderately safe,"Theft
Justice procedures offences
Burglary/break and enter"
Burnley,3121,City of Yarra,Inner City,4.5,1,N/A,"Clean & green
Parking
Parks and recreation
Peace and quiet
Public transport","Nightlife
Childcare
Cost of living
Medical facilities
Schools","Professionals
Singles
Families With Kids
Retirees
LGBTQ+",35,25,30,28.6,28,35,34,40,24,154.91,7.56,94.46,74.41%,93.91%,1 in 132,Moderately safe,"Theft
Property damage
Justice procedures offences"
Deepdene,3103,City of Boroondara,East,0,0,N/A,N/A,N/A,N/A,58,52,30,32,32,37,60,62,10,32.84,0.95,20.94,52.56%,65.35%,1 in 1051,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Essendon West,3040,City of Moonee Valley,Western,3.7,2,N/A,"Internet access
Parks and recreation
Peace and quiet
Gym and fitness
Cost of living","Clean & green
Lack of traffic
Pest-free
Safe and sound","Families With Kids
Professionals",47,42,56,63,63,37,48,52,10,28.86,3.21,12.83,59.56%,52.33%,1 in 312,Considered safe area,"Property damage
Breaches of orders
Theft"
Gardenvale,3185,City of Glen Eira,South East,0,0,N/A,N/A,N/A,N/A,49,33,35,35,34.2,37,43,45,15,73.6,11.78,43.18,82.73%,83.44%,1 in 85,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Caulfield East,3145,City of Glen Eira,South East,4.2,4,N/A,"Clean & green
Eating out
Gym and fitness
Internet access
Medical facilities",Pest-free,"Professionals
Families With Kids
Singles
Retirees",41,26,28,27,28,37,37,39,48,295.44,30.94,150.81,94.70%,96.68%,1 in 32,Relatively unsafe area,"Theft
Breaches of orders
Assault and related offences"
Seaholme,3018,City of Hobsons Bay,Western,4.3,0,N/A,"Medical facilities
Parking
Parks and recreation
Schools
Public transport",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",46,46,60,60,56,45,43,48,10,29.51,3.87,13.55,62.14%,53.55%,1 in 258,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
